Stn_No,Lat,Long
56843,24.5,99.37
56844,24.26,98.35
56846,24.36,99.54
56849,24.02,99.14
56851,25.03,100.32
56854,24.27,100.08
56856,24.28,100.52
56862,24.41,101.36
56863,24.56,102.29
56867,23.53,100.53
56869,24.04,101.58
56870,24.4,102.1
56871,24.41,102.37
56872,24.57,102.37
56873,24.4,102.54
56875,24.21,102.33
56876,24.17,102.46
56878,24.07,102.45
56879,24.12,102.55
56880,24.55,103.1
56881,24.44,103.16
56882,24.53,102.48
56883,24.5,103.59
56885,24.24,103.27
56886,24.32,103.46
56889,24.03,104.11
56891,24.59,104.19
56898,24.11,102.24
56944,23.09,99.16
56946,23.33,99.24
56948,22.44,99.27
56949,22.2,99.37
56950,23.28,99.48
56951,23.53,100.05
56952,23.3,100.42
56954,22.34,99.56
56958,21.55,100.25
56959,22.0,100.48
56961,23.02,101.03
56962,23.26,101.43
56964,22.47,100.58
56966,23.36,101.59
56969,21.29,101.34
56970,23.42,102.29
56973,23.37,102.5
56975,23.22,102.26
56976,23.1,102.45
56977,22.35,101.51
56978,23.0,102.25
56982,23.42,103.15
56984,23.23,103.09
56985,23.23,103.23
